operator-paths.trx
Counters: total=163, executed=163, passed=163, failed=0, error=0, timeout=0, aborted=0, inconclusive=0, passedButRunAborted=0, notRunnable=0, notExecuted=0, disconnected=0, warning=0, completed=0, inProgress=0, pending=0
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","mismatchedTarget").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","missing").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","missing").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","missing").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","missing").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","unknown").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","unknown").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","unknown").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","unknown").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","active").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","active").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","active").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","active").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","historical").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","historical").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","historical").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","historical").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","mismatchedSource").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","mismatchedSource").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","mismatchedSource").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","mismatchedSource").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","mismatchedTarget").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","mismatchedTarget").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","mismatchedTarget").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","mismatchedTarget").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","missing").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","missing").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","missing").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","missing").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","unknown").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","unknown").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","unknown").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","deactivate-offline","unknown").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","active").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","active").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","active").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","active").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","historical").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","historical").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","historical").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","historical").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","mismatchedSource").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","mismatchedSource").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","mismatchedSource").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","mismatchedSource").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","mismatchedTarget").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","mismatchedTarget").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","mismatchedTarget").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","mismatchedTarget").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","missing").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","missing").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","missing").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","missing").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","unknown").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","unknown").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","unknown").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","recover-cache-ahead","unknown").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","active").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","active").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","active").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","active").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","historical").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","historical").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","historical").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","historical").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","mismatchedSource").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","mismatchedSource").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","mismatchedSource").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","mismatchedSource").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","mismatchedTarget").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","mismatchedTarget").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","mismatchedTarget").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","mismatchedTarget").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","missing").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","missing").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","missing").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","missing").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","unknown").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","unknown").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","unknown").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","activate-offline","unknown").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","deactivate-offline","active").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","deactivate-offline","active").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","deactivate-offline","active").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","deactivate-offline","active").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","deactivate-offline","historical").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("postgresql","deactivate-offline","historical").It_preserves_lifecycle_latch_and_database_evidence
